'CO'
5.0D-3     : Molecule Abundance (CO)
0.112D-18  : electric dipole moment (CO)
57.6356D9  : Rotational Constant (Robinson 1974)
30         : Number of levels.
40         : Number of C coefficieant tabele for the temperature. 

       10.
  ( 0, 0)  ( 0, 1)  ( 0, 2)  ( 0, 3)  ( 0, 4)  ( 0, 5)  ( 0, 6)  ( 0, 7)  ( 0, 8)  ( 0, 9)  ( 0,10)  ( 0,11)  ( 0,12)  ( 0,13)  ( 0,14)  ( 0,15)  ( 0,16)  ( 0,17)  ( 0,18)  ( 0,19)  ( 0,20)  ( 0,21)  ( 0,22)  ( 0,23)  ( 0,24)  ( 0,25)  ( 0,26)  ( 0,27)  ( 0,28)  ( 0,29)
 9.01D-30 4.25D-29 1.60D-28 2.27D-27 8.20D-26 1.83D-24 2.62D-22 1.23D-20 3.93D-18 7.11D-16 2.69D-13 5.99D-10 8.87D-11 5.03D-11 4.33D-11 1.54D-11 8.93D-12 4.27D-12 4.68D-12 4.76D-13 2.19D-13 2.30D-13 2.42D-13 5.42D-14 8.81D-15 2.91D-14 1.59D-14 7.23D-15 4.48D-15 1.84D-16
 1.19D-32 1.67D-32 1.38D-31 1.19D-30 2.75D-29 1.64D-27 7.12D-26 1.48D-23 1.56D-21 6.51D-19 2.93D-16 1.27D-13 4.60D-10 5.63D-11 6.49D-11 5.63D-11 7.88D-12 1.97D-11 4.67D-12 1.92D-12 3.08D-13 7.62D-13 4.25D-13 1.51D-13 1.76D-14 7.34D-14 3.39D-14 1.73D-14 1.00D-14 4.36D-16
 2.21D-36 8.86D-36 3.03D-35 4.40D-34 8.45D-33 2.91D-31 3.18D-29 2.09D-27 7.45D-25 1.19D-22 8.76D-20 5.90D-17 4.61D-14 3.11D-10 8.87D-11 6.95D-11 3.00D-11 1.54D-11 2.10D-11 1.82D-12 1.18D-12 1.06D-12 1.37D-12 2.64D-13 4.72D-14 1.44D-13 8.36D-14 3.60D-14 2.37D-14 9.37D-16
 9.44D-40 1.70D-39 1.43D-38 1.07D-37 2.52D-36 1.01D-34 5.23D-33 1.04D-30 1.06D-28 6.76D-26 1.67D-23 2.38D-20 2.49D-17 4.16D-14 3.99D-10 1.02D-10 3.56D-11 6.13D-11 1.53D-11 7.81D-12 1.14D-12 3.86D-12 1.86D-12 7.98D-13 8.15D-14 3.82D-13 1.63D-13 8.69D-14 4.88D-14 2.17D-15
 9.99D-44 4.37D-43 1.85D-42 2.77D-41 4.12D-40 1.56D-38 1.23D-36 9.97D-35 3.50D-32 5.56D-30 6.10D-27 2.28D-24 5.83D-21 8.78D-18 2.76D-14 5.65D-10 5.82D-11 6.16D-11 6.30D-11 5.29D-12 4.83D-12 3.70D-12 6.33D-12 1.10D-12 2.33D-13 6.57D-13 4.14D-13 1.68D-13 1.15D-13 4.36D-15
 4.99D-48 1.14D-47 1.01D-46 8.64D-46 2.07D-44 6.38D-43 3.75D-41 5.52D-39 7.07D-37 4.18D-34 1.09D-31 2.05D-28 1.26D-25 5.86D-22 1.48D-18 9.00D-15 2.90D-10 1.15D-10 5.77D-11 2.20D-11 3.42D-12 1.52D-11 5.92D-12 3.58D-12 3.19D-13 1.79D-12 7.17D-13 4.10D-13 2.24D-13 9.95D-15
 2.52D-52 1.15D-51 6.28D-51 1.02D-49 1.60D-48 6.41D-47 3.74D-45 3.58D-43 9.78D-41 2.03D-38 2.07D-35 8.68D-33 2.80D-29 2.67D-26 2.27D-22 8.47D-19 1.02D-14 7.56D-10 1.20D-10 1.86D-11 1.46D-11 1.03D-11 2.28D-11 3.46D-12 9.91D-13 2.47D-12 1.85D-12 7.11D-13 5.18D-13 1.89D-14
 6.87D-57 1.97D-56 1.94D-55 1.98D-54 5.27D-53 1.55D-51 9.94D-50 1.11D-47 1.72D-45 8.32D-43 2.84D-40 4.87D-37 3.39D-34 1.86D-30 2.88D-27 4.42D-23 2.62D-19 6.11D-15 7.63D-10 4.12D-11 1.33D-11 4.53D-11 1.45D-11 1.31D-11 9.59D-13 7.07D-12 2.61D-12 1.74D-12 9.19D-13 4.20D-14
 2.77D-62 1.15D-61 7.59D-61 1.32D-59 2.41D-58 1.04D-56 5.59D-55 5.84D-53 1.22D-50 3.09D-48 2.57D-45 1.46D-42 4.10D-39 4.74D-36 4.34D-32 1.09D-28 2.94D-24 2.79D-20 1.21D-15 2.38D-10 3.20D-11 3.73D-11 6.31D-11 8.74D-12 3.51D-12 6.96D-12 7.11D-12 2.48D-12 2.09D-12 7.35D-14
 2.00D-67 5.72D-67 4.73D-66 5.42D-65 1.39D-63 4.60D-62 3.07D-60 3.13D-58 5.30D-56 1.95D-53 8.33D-51 1.13D-47 1.11D-44 5.19D-41 1.07D-37 1.69D-33 7.74D-30 3.72D-25 6.62D-21 5.42D-16 2.41D-10 1.02D-10 4.48D-11 3.85D-11 2.35D-12 2.34D-11 7.28D-12 6.43D-12 3.12D-12 1.61D-13
